batch_size,reference_size,detector,auc_roc,avg_precision,best_f1,best_threshold,failure_rate,n
32,250,ref_mmd_rbf,0.9606848713362466,0.960863972484406,0.8972353093056906,0.0821950435638427,0.5141447368421053,21280
32,250,ref_centroid_cosine,0.9495787219616396,0.9499306152164276,0.8822406670844152,0.134647250175476,0.5141447368421053,21280
32,250,ref_knn1_dist,0.9296035894023428,0.9366257166306922,0.8559935634584074,0.2644532918930053,0.5141447368421053,21280
32,250,ref_knn5_dist,0.9100774883978596,0.924326101840264,0.8391950683905344,0.3148086965084076,0.5141447368421053,21280
32,440,ref_mmd_rbf,0.9716864655216324,0.960825982015836,0.8873460241367916,0.1356920599937439,0.4035714285714286,5320
32,440,ref_centroid_cosine,0.9573124483756238,0.94054866517436,0.8586980182262643,0.1748661994934082,0.4035714285714286,5320
32,440,ref_knn1_dist,0.9626228874831906,0.94854672691076,0.8712103938471588,0.2869053483009338,0.4035714285714286,5320
32,440,ref_knn5_dist,0.9456257978979896,0.9340229473828688,0.8562285709287428,0.3303588032722473,0.4035714285714286,5320
32,500,ref_mmd_rbf,0.9632199999974528,0.9650518657269987,0.9060056067012574,0.0759645104408264,0.5299140708915145,18620
32,500,ref_centroid_cosine,0.9488843570822916,0.9515669869522329,0.8864057768013609,0.1215872168540954,0.5299140708915145,18620
32,500,ref_knn1_dist,0.931109681302162,0.9397383368327324,0.8627547016949153,0.2366446554660797,0.5299140708915145,18620
32,500,ref_knn5_dist,0.9164929955938256,0.9306289586498608,0.8465640708088553,0.2891194522380829,0.5299140708915145,18620
32,1000,ref_mmd_rbf,0.9637419517219032,0.9653600405908798,0.9045322073183965,0.0824195742607116,0.527389903329753,18620
32,1000,ref_centroid_cosine,0.9499296195149048,0.9523389274866592,0.8857086061391284,0.1310007572174072,0.527389903329753,18620
32,1000,ref_knn1_dist,0.9388425985928532,0.9448094955091006,0.8727686292783912,0.2240073084831237,0.527389903329753,18620
32,1000,ref_knn5_dist,0.9262151742732828,0.9366333803768472,0.8568900245731075,0.2527799904346466,0.527389903329753,18620
64,100,ref_mmd_rbf,0.9643157494133572,0.9638950561514142,0.902035736010396,0.0775741934776306,0.5121710526315789,21280
64,100,ref_centroid_cosine,0.9516396174633518,0.9514191144225506,0.8852253377316167,0.1349784135818481,0.5121710526315789,21280
64,100,ref_knn1_dist,0.9155661188699538,0.9277704782718028,0.8427083802012344,0.3031863570213318,0.5121710526315789,21280
64,100,ref_knn5_dist,0.8865601092017404,0.9098025568109556,0.8192347554603157,0.353945255279541,0.5121710526315789,21280
64,250,ref_mmd_rbf,0.9652418586320468,0.9646848895487716,0.9035695253396446,0.0750368237495422,0.5118421052631579,21280
64,250,ref_centroid_cosine,0.9546909643263344,0.954121670239135,0.8893294876039902,0.1363651752471923,0.5118421052631579,21280
64,250,ref_knn1_dist,0.9327225925674006,0.9392037101408248,0.8579542846907859,0.2754827439785003,0.5118421052631579,21280
64,250,ref_knn5_dist,0.912892650754826,0.9267666078469732,0.8414844382987255,0.3138855099678039,0.5118421052631579,21280
64,440,ref_mmd_rbf,0.977265420830608,0.9678134322019236,0.9001814877033364,0.1381659507751464,0.4093984962406015,5320
64,440,ref_centroid_cosine,0.965513447068334,0.951166282973728,0.8738408448760004,0.1675772666931152,0.4093984962406015,5320
64,440,ref_knn1_dist,0.968690141972938,0.9572638714533284,0.8887387382389176,0.2833369970321655,0.4093984962406015,5320
64,440,ref_knn5_dist,0.9525484577854232,0.9431312050242158,0.8703196342032112,0.333583652973175,0.4093984962406015,5320
64,500,ref_mmd_rbf,0.9671724730408404,0.9677646355582576,0.9101483557527634,0.0689488053321838,0.5258324382384533,18620
64,500,ref_centroid_cosine,0.9539039038570062,0.9546044444287128,0.8934566283070413,0.1304236650466919,0.5258324382384533,18620
64,500,ref_knn1_dist,0.933828899639572,0.9410994675815036,0.8642096959925383,0.238303393125534,0.5258324382384533,18620
64,500,ref_knn5_dist,0.9191390351702028,0.931876123516714,0.849060436269949,0.2881846725940704,0.5258324382384533,18620
64,1000,ref_mmd_rbf,0.9674768567851908,0.9681058895424216,0.911578014557444,0.0682096481323242,0.5266380236305048,18620
64,1000,ref_centroid_cosine,0.9545579696532518,0.9555363435506392,0.8928141303712617,0.1285354495048523,0.5266380236305048,18620
64,1000,ref_knn1_dist,0.9406781902468128,0.9460607187100176,0.8738361490645906,0.2213525176048278,0.5266380236305048,18620
64,1000,ref_knn5_dist,0.928046622053497,0.9379525524963944,0.8580648359199472,0.2560424208641052,0.5266380236305048,18620
