dataset,backbone,perturbation,severity,tag,n_pairs,n_flip,flip_rate,auc_total_drift,auc_pred_margin,firstorder_recall
WRD25,efficientnet_b3,contrast,0.75,contrast_0_75,1622,44,0.027127003699136867,0.6470791565848599,0.9976235741444867,0.9545454545454546
WRD25,efficientnet_b3,contrast,1.25,contrast_1_25,1622,22,0.013563501849568433,0.51859375,1.0,1.0
WRD25,efficientnet_b3,contrast,1.5,contrast_1_5,1622,45,0.027743526510480888,0.597569224265483,0.9798210385401254,0.8888888888888888
WRD25,efficientnet_b3,pixelate,0.5,pixelate_0_5,1622,691,0.42601726263871764,0.693809933143796,0.8391471753603568,0.5600578871201157
WRD25,efficientnet_b3,pixelate,0.33,pixelate_0_33,1622,1086,0.6695437731196054,0.7334503243451251,0.8444294411918309,0.5386740331491713
WRD25,efficientnet_b3,pixelate,0.25,pixelate_0_25,1622,1179,0.7268803945745993,0.7344939756498697,0.8675561988676941,0.5657336726039016
WRD25,efficientnet_b3,scratch,mild,scratch_mild,1622,103,0.06350184956843404,0.5934090516883233,0.958947186766971,0.7766990291262136
WRD25,efficientnet_b3,scratch,moderate,scratch_moderate,1622,298,0.18372379778051787,0.5809525740586792,0.9193743790425597,0.6677852348993288
WRD25,efficientnet_b3,scratch,severe,scratch_severe,1622,735,0.4531442663378545,0.6402464931857748,0.8634255957174302,0.6149659863945578
WRD25,efficientnet_b3,rotation,45,rotation_45,1622,442,0.2725030826140567,0.737938108750671,0.855333998005982,0.5203619909502263
WRD25,efficientnet_b3,rotation,90,rotation_90,1622,149,0.09186189889025893,0.734124760225445,0.9256596363172451,0.6308724832214765
WRD25,efficientnet_b3,rotation,135,rotation_135,1622,451,0.27805178791615287,0.7374285438374919,0.8310898449408374,0.5055432372505543
WRD25,efficientnet_b3,rotation,180,rotation_180,1622,84,0.051787916152897656,0.7136432596445601,0.9819416062914113,0.7976190476190477
WRD25,efficientnet_b3,compound,mild,compound_mild,1622,938,0.5782983970406905,0.7498682963627976,0.7770311973964763,0.502132196162047
WRD25,efficientnet_b3,compound,moderate,compound_moderate,1622,1440,0.8877928483353884,0.7318853021978021,0.8682615995115994,0.44027777777777777
WRD25,efficientnet_b3,compound,severe,compound_severe,1622,1465,0.9032059186189889,0.919484359035673,0.9345318580030868,0.5269624573378839
WRD25,efficientnet_b3,compound_optical,mild,compound_optical_mild,1622,296,0.18249075215782984,0.648211701520525,0.8807529248705719,0.6891891891891891
WRD25,efficientnet_b3,compound_optical,moderate,compound_optical_moderate,1622,988,0.6091245376078915,0.7127765041699128,0.7492305137996654,0.4777327935222672
WRD25,efficientnet_b3,compound_optical,severe,compound_optical_severe,1622,1128,0.6954377311960542,0.7301949636776065,0.7887486720073507,0.45567375886524825
WRD25,efficientnet_b3,compound_digital,mild,compound_digital_mild,1622,497,0.3064118372379778,0.7897357478202549,0.8770936731500112,0.6720321931589537
WRD25,efficientnet_b3,compound_digital,moderate,compound_digital_moderate,1622,820,0.5055487053020962,0.781744571498084,0.845129554163372,0.5548780487804879
WRD25,efficientnet_b3,compound_digital,severe,compound_digital_severe,1622,978,0.6029593094944513,0.7833430184557153,0.8324315055443356,0.5623721881390593
WRD25,efficientnet_b3,compound_field,mild,compound_field_mild,1622,712,0.43896424167694204,0.7908831337202124,0.85371805161131,0.6207865168539326
WRD25,efficientnet_b3,compound_field,moderate,compound_field_moderate,1622,1081,0.6664611590628853,0.7463967607182369,0.8072965916066626,0.5818686401480111
WRD25,efficientnet_b3,compound_field,severe,compound_field_severe,1622,1181,0.7281134401972873,0.737575865796502,0.8439214240593218,0.5664690939881456
WRD25,resnet50,gaussian_blur,2,blur_2,1615,475,0.29411764705882354,0.6619085872576177,0.874123730378578,0.5663157894736842
WRD25,resnet50,gaussian_blur,4,blur_4,1615,1008,0.6241486068111455,0.7162436913260636,0.849154049318794,0.5386904761904762
WRD25,resnet50,gaussian_blur,6,blur_6,1615,1210,0.7492260061919505,0.8070727476788082,0.8540597898173656,0.5661157024793388
WRD25,resnet50,gaussian_blur,8,blur_8,1615,1251,0.7746130030959752,0.8240166108871145,0.8577687300708883,0.5235811350919265
WRD25,resnet50,gaussian_blur,10,blur_10,1615,1329,0.8229102167182663,0.8476061184864797,0.8777933879514015,0.48081264108352145
WRD25,resnet50,gaussian_blur,12,blur_12,1615,1445,0.8947368421052632,0.8994300834520658,0.9167433340118055,0.4844290657439446
WRD25,resnet50,defocus_blur,3,defocus_3,1615,345,0.21362229102167182,0.5838400091292936,0.8741572520826201,0.553623188405797
WRD25,resnet50,defocus_blur,5,defocus_5,1615,720,0.4458204334365325,0.6288198324022347,0.8038019863438858,0.4027777777777778
WRD25,resnet50,defocus_blur,8,defocus_8,1615,997,0.6173374613003096,0.6779699941247692,0.839898335784051,0.49247743229689067
WRD25,resnet50,defocus_blur,11,defocus_11,1615,1166,0.7219814241486068,0.7574398224375112,0.8883931129592347,0.5265866209262435
WRD25,resnet50,defocus_blur,15,defocus_15,1615,1243,0.7696594427244582,0.8115414060675264,0.9077219526120468,0.5132743362831859
WRD25,resnet50,resize,1.33,resize_1_33,1615,145,0.08978328173374613,0.44680506685432797,0.9680131362889983,0.7241379310344828
WRD25,resnet50,resize,1.67,resize_1_67,1615,270,0.16718266253869968,0.4985322869337739,0.9211042269034834,0.6444444444444445
WRD25,resnet50,resize,2.0,resize_2_0,1615,423,0.26191950464396285,0.5421862852428324,0.8884228187919463,0.5673758865248227
WRD25,resnet50,illumination,0.7,brightness_0_7,1615,48,0.029721362229102165,0.6045455754094874,0.999747394171453,0.9791666666666666
WRD25,resnet50,illumination,0.85,brightness_0_85,1615,22,0.013622291021671827,0.6315699366546824,0.9996861268047709,0.9090909090909091
WRD25,resnet50,illumination,1.15,brightness_1_15,1615,24,0.014860681114551083,0.6966268594175571,1.0,1.0
WRD25,resnet50,illumination,1.3,brightness_1_3,1615,39,0.02414860681114551,0.5847976051021737,1.0,1.0
WRD25,resnet50,jpeg,10,jpeg_10,1615,760,0.47058823529411764,0.7434102800861805,0.8830286241920592,0.5447368421052632
WRD25,resnet50,jpeg,20,jpeg_20,1615,314,0.19442724458204336,0.6848700411736195,0.9120103594980832,0.6114649681528662
WRD25,resnet50,jpeg,30,jpeg_30,1615,196,0.12136222910216718,0.6629291251384275,0.9447404754713725,0.7040816326530612
WRD25,resnet50,jpeg,50,jpeg_50,1615,100,0.06191950464396285,0.6256996699669968,0.9635841584158416,0.78
WRD25,resnet50,jpeg,70,jpeg_70,1615,70,0.043343653250773995,0.6311141932501155,0.9890892279241794,0.8714285714285714
WRD25,resnet50,red_channel_shift,-45,color_shift_-45,1615,231,0.14303405572755418,0.5422093561544429,0.973222105447539,0.8225108225108225
WRD25,resnet50,red_channel_shift,-30,color_shift_-30,1615,159,0.09845201238390093,0.5275265222199184,0.981784332020181,0.8490566037735849
WRD25,resnet50,red_channel_shift,30,color_shift_30,1615,122,0.07554179566563468,0.5641875199016174,0.9938895172004875,0.9016393442622951
WRD25,resnet50,red_channel_shift,45,color_shift_45,1615,156,0.09659442724458205,0.5712795029964324,0.9850178379993322,0.8846153846153846
WRD25,resnet50,green_channel_shift,-45,green_channel_shift_-45,1615,162,0.10030959752321982,0.47137680235867896,0.9645348491414103,0.845679012345679
WRD25,resnet50,green_channel_shift,-30,green_channel_shift_-30,1615,100,0.06191950464396285,0.4559273927392739,0.9926270627062705,0.92
WRD25,resnet50,green_channel_shift,30,green_channel_shift_30,1615,264,0.1634674922600619,0.6198971581095933,0.9377929928448063,0.7045454545454546
WRD25,resnet50,green_channel_shift,45,green_channel_shift_45,1615,368,0.22786377708978328,0.637045212858687,0.905969980126216,0.6277173913043478
WRD25,resnet50,blue_channel_shift,-45,blue_channel_shift_-45,1615,178,0.11021671826625387,0.5862459243273674,0.9660380161541288,0.7584269662921348
WRD25,resnet50,blue_channel_shift,-30,blue_channel_shift_-30,1615,117,0.07244582043343653,0.5843460796731825,0.9830885625278148,0.8461538461538461
WRD25,resnet50,blue_channel_shift,30,blue_channel_shift_30,1615,110,0.06811145510835913,0.49909392932648755,0.9874297795228029,0.8909090909090909
WRD25,resnet50,blue_channel_shift,45,blue_channel_shift_45,1615,214,0.1325077399380805,0.5816889805012441,0.9604287991888304,0.8364485981308412
WRD25,resnet50,gaussian_noise,0.02,gaussian_noise_0_02,1615,114,0.07058823529411765,0.43628516661407013,0.944814568065734,0.8070175438596491
WRD25,resnet50,gaussian_noise,0.05,gaussian_noise_0_05,1615,184,0.11393188854489164,0.5861399750858323,0.8962188193115183,0.6467391304347826
WRD25,resnet50,gaussian_noise,0.1,gaussian_noise_0_1,1615,400,0.2476780185758514,0.6006625514403292,0.8423333333333333,0.5275
WRD25,resnet50,shot_noise,60,shot_noise_60,1615,363,0.22476780185758513,0.5996257228104453,0.8524432533291086,0.5151515151515151
WRD25,resnet50,shot_noise,30,shot_noise_30,1615,658,0.40743034055727556,0.6659695159328322,0.8234430035603916,0.46200607902735563
WRD25,resnet50,shot_noise,15,shot_noise_15,1615,979,0.6061919504643963,0.6860565588040678,0.8113143305002538,0.4371807967313585
WRD25,resnet50,impulse_noise,0.01,impulse_noise_0_01,1615,466,0.2885448916408669,0.7799896906061252,0.8969340759085154,0.648068669527897
WRD25,resnet50,impulse_noise,0.03,impulse_noise_0_03,1615,861,0.5331269349845201,0.8083123072610036,0.8795999346882442,0.6422764227642277
WRD25,resnet50,impulse_noise,0.05,impulse_noise_0_05,1615,1003,0.6210526315789474,0.7751158289836374,0.8423324796851277,0.6051844466600199
WRD25,resnet50,motion_blur,5,motion_blur_5,1615,200,0.1238390092879257,0.6170282685512367,0.9127915194346289,0.595
