dataset,backbone,perturbation,severity,tag,rule,protocol,n_splits,test_size,split_seed,accuracy,accuracy_std,acc_clean,drop
DTSR14,dinov2_b,illumination,1.3,brightness_1_3,linear_probe,split_disjoint_v1,5,0.2,42,0.952274003368894,0.0028409007615213,0.9576642335766422,0.0053902302077483
DTSR14,dinov2_b,impulse_noise,0.01,impulse_noise_0_01,linear_probe,split_disjoint_v1,5,0.2,42,0.6890510948905109,0.0089019297844385,0.9576642335766422,0.2686131386861313
DTSR14,dinov2_b,impulse_noise,0.03,impulse_noise_0_03,linear_probe,split_disjoint_v1,5,0.2,42,0.3951712521055587,0.0081087066585224,0.9576642335766422,0.5624929814710835
DTSR14,dinov2_b,impulse_noise,0.05,impulse_noise_0_05,linear_probe,split_disjoint_v1,5,0.2,42,0.3298147108366086,0.002088834950897,0.9576642335766422,0.6278495227400336
DTSR14,dinov2_b,jpeg,10,jpeg_10,linear_probe,split_disjoint_v1,5,0.2,42,0.7462099943851769,0.0051583084010582,0.9576642335766422,0.2114542391914653
DTSR14,dinov2_b,jpeg,20,jpeg_20,linear_probe,split_disjoint_v1,5,0.2,42,0.8651319483436272,0.0072724423845893,0.9576642335766422,0.092532285233015
DTSR14,dinov2_b,jpeg,30,jpeg_30,linear_probe,split_disjoint_v1,5,0.2,42,0.9155530600786076,0.0047590387648326,0.9576642335766422,0.0421111734980346
DTSR14,dinov2_b,jpeg,50,jpeg_50,linear_probe,split_disjoint_v1,5,0.2,42,0.9438517686692872,0.0024345292968757,0.9576642335766422,0.0138124649073551
DTSR14,dinov2_b,jpeg,70,jpeg_70,linear_probe,split_disjoint_v1,5,0.2,42,0.952274003368894,0.0040953582321865,0.9576642335766422,0.0053902302077482
DTSR14,dinov2_b,motion_blur,15,motion_blur_15,linear_probe,split_disjoint_v1,5,0.2,42,0.7323975294778216,0.0060743979051312,0.9576642335766422,0.2252667040988206
DTSR14,dinov2_b,motion_blur,5,motion_blur_5,linear_probe,split_disjoint_v1,5,0.2,42,0.9300393037619316,0.0008403497780514,0.9576642335766422,0.0276249298147106
DTSR14,dinov2_b,motion_blur,9,motion_blur_9,linear_probe,split_disjoint_v1,5,0.2,42,0.8633352049410444,0.0034172092205958,0.9576642335766422,0.0943290286355977
DTSR14,dinov2_b,pixelate,0.25,pixelate_0_25,linear_probe,split_disjoint_v1,5,0.2,42,0.8543514879281302,0.0088251017201071,0.9576642335766422,0.103312745648512
DTSR14,dinov2_b,pixelate,0.33,pixelate_0_33,linear_probe,split_disjoint_v1,5,0.2,42,0.9075800112296464,0.0054159036728972,0.9576642335766422,0.0500842223469959
DTSR14,dinov2_b,pixelate,0.5,pixelate_0_5,linear_probe,split_disjoint_v1,5,0.2,42,0.926445816956766,0.0042761219011027,0.9576642335766422,0.0312184166198763
DTSR14,dinov2_b,red_channel_shift,-30,color_shift_-30,linear_probe,split_disjoint_v1,5,0.2,42,0.9313868613138686,0.004147374578915,0.9576642335766422,0.0262773722627736
DTSR14,dinov2_b,red_channel_shift,-45,color_shift_-45,linear_probe,split_disjoint_v1,5,0.2,42,0.8971364402021337,0.0047563882278601,0.9576642335766422,0.0605277933745085
DTSR14,dinov2_b,red_channel_shift,30,color_shift_30,linear_probe,split_disjoint_v1,5,0.2,42,0.9508141493542954,0.0044154078049045,0.9576642335766422,0.0068500842223467
DTSR14,dinov2_b,red_channel_shift,45,color_shift_45,linear_probe,split_disjoint_v1,5,0.2,42,0.9408197641774284,0.0054967942731141,0.9576642335766422,0.0168444693992136
DTSR14,dinov2_b,resize,1.33,resize_1_33,linear_probe,split_disjoint_v1,5,0.2,42,0.9073554183043232,0.0018452191718309,0.9576642335766422,0.0503088152723188
DTSR14,dinov2_b,resize,1.67,resize_1_67,linear_probe,split_disjoint_v1,5,0.2,42,0.8349241998877035,0.0065479527174006,0.9576642335766422,0.1227400336889387
DTSR14,dinov2_b,resize,2.0,resize_2_0,linear_probe,split_disjoint_v1,5,0.2,42,0.762043795620438,0.0068251864790669,0.9576642335766422,0.1956204379562042
DTSR14,dinov2_b,rotation,135,rotation_135,linear_probe,split_disjoint_v1,5,0.2,42,0.6169567658618753,0.0106734819334795,0.9576642335766422,0.3407074677147669
DTSR14,dinov2_b,rotation,180,rotation_180,linear_probe,split_disjoint_v1,5,0.2,42,0.950701852891634,0.0048871544406488,0.9576642335766422,0.0069623806850083
DTSR14,dinov2_b,rotation,45,rotation_45,linear_probe,split_disjoint_v1,5,0.2,42,0.6291970802919707,0.0083099382369455,0.9576642335766422,0.3284671532846714
DTSR14,dinov2_b,rotation,90,rotation_90,linear_probe,split_disjoint_v1,5,0.2,42,0.8844469399213926,0.0038147754635514,0.9576642335766422,0.0732172936552496
DTSR14,dinov2_b,scratch,mild,scratch_mild,linear_probe,split_disjoint_v1,5,0.2,42,0.8543514879281302,0.0054622735573342,0.9576642335766422,0.103312745648512
DTSR14,dinov2_b,scratch,moderate,scratch_moderate,linear_probe,split_disjoint_v1,5,0.2,42,0.8161706906232455,0.003227424562201,0.9576642335766422,0.1414935429533966
DTSR14,dinov2_b,scratch,severe,scratch_severe,linear_probe,split_disjoint_v1,5,0.2,42,0.6932060640089837,0.010827149505396,0.9576642335766422,0.2644581695676585
DTSR14,dinov2_b,shot_noise,15,shot_noise_15,linear_probe,split_disjoint_v1,5,0.2,42,0.4026951151038742,0.0045670296255278,0.9576642335766422,0.5549691184727681
DTSR14,dinov2_b,shot_noise,30,shot_noise_30,linear_probe,split_disjoint_v1,5,0.2,42,0.4786075238629984,0.0035617633974517,0.9576642335766422,0.4790567097136438
DTSR14,dinov2_b,shot_noise,60,shot_noise_60,linear_probe,split_disjoint_v1,5,0.2,42,0.5668725435148793,0.0055765116307401,0.9576642335766422,0.3907916900617629
DTSR14,dinov2_b,zoom_blur,1.05,zoom_blur_1_05,linear_probe,split_disjoint_v1,5,0.2,42,0.7420550252667042,0.004486240169666,0.9576642335766422,0.215609208309938
DTSR14,dinov2_b,zoom_blur,1.1,zoom_blur_1_1,linear_probe,split_disjoint_v1,5,0.2,42,0.5943851768669287,0.0049537888826755,0.9576642335766422,0.3632790567097135
