dataset,backbone,split,perturbation,severity,tag,mean_drift,baseline_clean_acc,baseline_pert_acc,baseline_drop,augmented_clean_acc,augmented_pert_acc,augmented_drop
WRD25,dinov2_b,1,red_channel_shift,30,color_shift_30,0.03159806877374649,0.9606481481481481,0.9282407407407407,0.03240740740740744,0.9467592592592593,0.9166666666666666,0.03009259259259267
WRD25,dinov2_b,1,red_channel_shift,45,color_shift_45,0.0468064621090889,0.9606481481481481,0.8981481481481481,0.0625,0.9467592592592593,0.9050925925925926,0.04166666666666674
WRD25,dinov2_b,1,green_channel_shift,-45,green_channel_shift_-45,0.07021021842956543,0.9606481481481481,0.8912037037037037,0.06944444444444442,0.9467592592592593,0.9050925925925926,0.04166666666666674
WRD25,dinov2_b,1,green_channel_shift,-30,green_channel_shift_-30,0.04725120961666107,0.9606481481481481,0.9143518518518519,0.04629629629629628,0.9467592592592593,0.9189814814814815,0.02777777777777779
WRD25,dinov2_b,1,green_channel_shift,30,green_channel_shift_30,0.07338004559278488,0.9606481481481481,0.9166666666666666,0.04398148148148151,0.9467592592592593,0.9444444444444444,0.0023148148148148806
WRD25,dinov2_b,1,green_channel_shift,45,green_channel_shift_45,0.10695289075374603,0.9606481481481481,0.875,0.08564814814814814,0.9467592592592593,0.9351851851851852,0.01157407407407407
WRD25,dinov2_b,1,blue_channel_shift,-45,blue_channel_shift_-45,0.04177495837211609,0.9606481481481481,0.9467592592592593,0.01388888888888884,0.9467592592592593,0.9421296296296297,0.00462962962962965
WRD25,dinov2_b,1,blue_channel_shift,-30,blue_channel_shift_-30,0.023792240768671036,0.9606481481481481,0.9560185185185185,0.00462962962962965,0.9467592592592593,0.9398148148148148,0.006944444444444531
WRD25,dinov2_b,1,blue_channel_shift,30,blue_channel_shift_30,0.03180616721510887,0.9606481481481481,0.9560185185185185,0.00462962962962965,0.9467592592592593,0.9490740740740741,-0.0023148148148147696
WRD25,dinov2_b,1,blue_channel_shift,45,blue_channel_shift_45,0.05955643951892853,0.9606481481481481,0.9328703703703703,0.02777777777777779,0.9467592592592593,0.9513888888888888,-0.004629629629629539
WRD25,dinov2_b,1,gaussian_noise,0.02,gaussian_noise_0_02,0.042320623993873596,0.9606481481481481,0.9513888888888888,0.0092592592592593,0.9467592592592593,0.9421296296296297,0.00462962962962965
WRD25,dinov2_b,1,gaussian_noise,0.05,gaussian_noise_0_05,0.11230440437793732,0.9606481481481481,0.8773148148148148,0.08333333333333337,0.9467592592592593,0.9421296296296297,0.00462962962962965
WRD25,dinov2_b,1,gaussian_noise,0.1,gaussian_noise_0_1,0.21915070712566376,0.9606481481481481,0.6388888888888888,0.3217592592592593,0.9467592592592593,0.9212962962962963,0.02546296296296302
WRD25,dinov2_b,1,shot_noise,60,shot_noise_60,0.18107996881008148,0.9606481481481481,0.7453703703703703,0.2152777777777778,0.9467592592592593,0.9351851851851852,0.01157407407407407
WRD25,dinov2_b,1,shot_noise,30,shot_noise_30,0.25988614559173584,0.9606481481481481,0.5393518518518519,0.4212962962962963,0.9467592592592593,0.9004629629629629,0.04629629629629639
WRD25,dinov2_b,1,shot_noise,15,shot_noise_15,0.37585464119911194,0.9606481481481481,0.32175925925925924,0.6388888888888888,0.9467592592592593,0.8402777777777778,0.10648148148148151
WRD25,dinov2_b,1,impulse_noise,0.01,impulse_noise_0_01,0.18506257236003876,0.9606481481481481,0.7847222222222222,0.17592592592592593,0.9467592592592593,0.9351851851851852,0.01157407407407407
WRD25,dinov2_b,1,impulse_noise,0.03,impulse_noise_0_03,0.29222044348716736,0.9606481481481481,0.5555555555555556,0.40509259259259256,0.9467592592592593,0.9212962962962963,0.02546296296296302
WRD25,dinov2_b,1,impulse_noise,0.05,impulse_noise_0_05,0.3541829586029053,0.9606481481481481,0.3726851851851852,0.587962962962963,0.9467592592592593,0.8912037037037037,0.05555555555555558
WRD25,dinov2_b,1,motion_blur,5,motion_blur_5,0.08993138372898102,0.9606481481481481,0.9212962962962963,0.03935185185185186,0.9467592592592593,0.9305555555555556,0.01620370370370372
WRD25,dinov2_b,1,motion_blur,9,motion_blur_9,0.22099371254444122,0.9606481481481481,0.7245370370370371,0.23611111111111105,0.9467592592592593,0.9282407407407407,0.0185185185185186
WRD25,dinov2_b,1,motion_blur,15,motion_blur_15,0.39887797832489014,0.9606481481481481,0.3472222222222222,0.6134259259259259,0.9467592592592593,0.8425925925925926,0.10416666666666674
WRD25,dinov2_b,1,zoom_blur,1.05,zoom_blur_1_05,0.26651838421821594,0.9606481481481481,0.5902777777777778,0.37037037037037035,0.9467592592592593,0.8912037037037037,0.05555555555555558
WRD25,dinov2_b,1,zoom_blur,1.1,zoom_blur_1_1,0.4723426103591919,0.9606481481481481,0.21064814814814814,0.75,0.9467592592592593,0.8657407407407407,0.0810185185185186
WRD25,dinov2_b,1,zoom_blur,1.2,zoom_blur_1_2,0.6068667769432068,0.9606481481481481,0.17824074074074073,0.7824074074074074,0.9467592592592593,0.7685185185185185,0.1782407407407408
WRD25,dinov2_b,1,contrast,0.5,contrast_0_5,0.020810594782233238,0.9606481481481481,0.9606481481481481,0.0,0.9467592592592593,0.9351851851851852,0.01157407407407407
WRD25,dinov2_b,1,contrast,0.75,contrast_0_75,0.003761165775358677,0.9606481481481481,0.9629629629629629,-0.0023148148148147696,0.9467592592592593,0.9444444444444444,0.0023148148148148806
WRD25,dinov2_b,1,contrast,1.25,contrast_1_25,0.003274819813668728,0.9606481481481481,0.9652777777777778,-0.00462962962962965,0.9467592592592593,0.9490740740740741,-0.0023148148148147696
WRD25,dinov2_b,1,contrast,1.5,contrast_1_5,0.011454352177679539,0.9606481481481481,0.9629629629629629,-0.0023148148148147696,0.9467592592592593,0.9537037037037037,-0.00694444444444442
WRD25,dinov2_b,1,pixelate,0.5,pixelate_0_5,0.1296224296092987,0.9606481481481481,0.8703703703703703,0.09027777777777779,0.9467592592592593,0.9351851851851852,0.01157407407407407
WRD25,dinov2_b,1,pixelate,0.33,pixelate_0_33,0.2685147523880005,0.9606481481481481,0.5717592592592593,0.38888888888888884,0.9467592592592593,0.8842592592592593,0.0625
WRD25,dinov2_b,1,pixelate,0.25,pixelate_0_25,0.3750644326210022,0.9606481481481481,0.3287037037037037,0.6319444444444444,0.9467592592592593,0.8310185185185185,0.11574074074074081
