detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_centroid_cosine,zoom_blur,0.05,0.2114768028259277,0.8690476190476191,0.863013698630137,0.18181818181818182,0.9692307692307692,168,126,4,20,18
ref_centroid_cosine,zoom_blur,0.1,0.1497853994369506,0.8690476190476191,0.9178082191780822,0.4090909090909091,0.9370629370629371,168,134,9,12,13
ref_knn1_dist,blue_channel_shift,0.05,0.2804862260818481,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_knn1_dist,blue_channel_shift,0.1,0.2308253049850464,0.008928571428571428,0.0,0.0,,224,0,0,2,222
ref_knn1_dist,compound,0.05,0.274412453174591,1.0,0.8988095238095238,,1.0,168,151,0,17,0
ref_knn1_dist,compound,0.1,0.2256584912538528,1.0,0.9583333333333334,,1.0,168,161,0,7,0
ref_knn1_dist,compound_digital,0.05,0.274412453174591,0.8630952380952381,0.6827586206896552,0.043478260869565216,0.99,168,99,1,46,22
ref_knn1_dist,compound_digital,0.1,0.2256584912538528,0.8630952380952381,0.8344827586206897,0.08695652173913043,0.983739837398374,168,121,2,24,21
ref_knn1_dist,compound_field,0.05,0.2727994322776794,0.9583333333333334,0.8633540372670807,0.2857142857142857,0.9858156028368794,168,139,2,22,5
ref_knn1_dist,compound_field,0.1,0.2230251580476761,0.9583333333333334,0.937888198757764,0.7142857142857143,0.967948717948718,168,151,5,10,2
ref_knn1_dist,compound_optical,0.05,0.2706603407859802,0.8928571428571429,0.9,0.2777777777777778,0.9642857142857143,168,135,5,15,13
ref_knn1_dist,compound_optical,0.1,0.2220885008573532,0.8928571428571429,0.9266666666666666,0.4444444444444444,0.9455782312925171,168,139,8,11,10
ref_knn1_dist,contrast,0.05,0.2804862260818481,0.0,,0.0,,224,0,0,0,224
ref_knn1_dist,contrast,0.1,0.2308253049850464,0.0,,0.0,,224,0,0,0,224
ref_knn1_dist,defocus_blur,0.05,0.2723134160041809,0.8785714285714286,0.8252032520325203,0.11764705882352941,0.9806763285024155,280,203,4,43,30
ref_knn1_dist,defocus_blur,0.1,0.2214077413082122,0.8785714285714286,0.9227642276422764,0.35294117647058826,0.9497907949790795,280,227,12,19,22
