dataset,backbone,perturbation,severity,accuracy,acc_clean,drop
BD11,efficientnet_b3,zoom_blur,1.05,0.6022727272727273,0.8931818181818182,0.2909090909090909
BD11,efficientnet_b3,zoom_blur,1.1,0.2727272727272727,0.8931818181818182,0.6204545454545455
BD11,efficientnet_b3,zoom_blur,1.2,0.175,0.8931818181818182,0.7181818181818183
BD11,efficientnet_b3,contrast,0.5,0.9545454545454546,0.8931818181818182,-0.0613636363636364
BD11,efficientnet_b3,contrast,0.75,0.9568181818181818,0.8931818181818182,-0.0636363636363636
BD11,efficientnet_b3,contrast,1.25,0.9477272727272728,0.8931818181818182,-0.0545454545454545
BD11,efficientnet_b3,contrast,1.5,0.9477272727272728,0.8931818181818182,-0.0545454545454545
BD11,efficientnet_b3,pixelate,0.5,0.6227272727272727,0.8931818181818182,0.2704545454545455
BD11,efficientnet_b3,pixelate,0.33,0.525,0.8931818181818182,0.3681818181818181
BD11,efficientnet_b3,pixelate,0.25,0.3613636363636364,0.8931818181818182,0.5318181818181817
BD11,efficientnet_b3,scratch,mild,0.9431818181818182,0.8931818181818182,-0.05
BD11,efficientnet_b3,scratch,moderate,0.9090909090909092,0.8931818181818182,-0.0159090909090908
BD11,efficientnet_b3,scratch,severe,0.7454545454545455,0.8931818181818182,0.1477272727272727
BD11,efficientnet_b3,rotation,45,0.8090909090909091,0.8931818181818182,0.0840909090909091
BD11,efficientnet_b3,rotation,90,0.8386363636363636,0.8931818181818182,0.0545454545454545
BD11,efficientnet_b3,rotation,135,0.7909090909090909,0.8931818181818182,0.1022727272727272
BD11,efficientnet_b3,rotation,180,0.9454545454545454,0.8931818181818182,-0.0522727272727272
BD11,efficientnet_b3,compound,mild,0.5204545454545455,0.8931818181818182,0.3727272727272727
BD11,efficientnet_b3,compound,moderate,0.1795454545454545,0.8931818181818182,0.7136363636363636
BD11,efficientnet_b3,compound,severe,0.0795454545454545,0.8931818181818182,0.8136363636363636
BD11,efficientnet_b3,compound_optical,mild,0.7909090909090909,0.8931818181818182,0.1022727272727272
BD11,efficientnet_b3,compound_optical,moderate,0.5636363636363636,0.8931818181818182,0.3295454545454546
BD11,efficientnet_b3,compound_optical,severe,0.2772727272727273,0.8931818181818182,0.615909090909091
BD11,efficientnet_b3,compound_digital,mild,0.7545454545454545,0.8931818181818182,0.1386363636363636
BD11,efficientnet_b3,compound_digital,moderate,0.6886363636363636,0.8931818181818182,0.2045454545454545
BD11,efficientnet_b3,compound_digital,severe,0.484090909090909,0.8931818181818182,0.4090909090909091
BD11,efficientnet_b3,compound_field,mild,0.55,0.8931818181818182,0.3431818181818181
BD11,efficientnet_b3,compound_field,moderate,0.2636363636363636,0.8931818181818182,0.6295454545454546
BD11,efficientnet_b3,compound_field,severe,0.1340909090909091,0.8931818181818182,0.759090909090909
BD11,convnext_tiny,gaussian_blur,2,0.7636363636363637,0.9,0.1363636363636363
BD11,convnext_tiny,gaussian_blur,4,0.5022727272727273,0.9,0.3977272727272727
BD11,convnext_tiny,gaussian_blur,6,0.3454545454545454,0.9,0.5545454545454546
BD11,convnext_tiny,gaussian_blur,8,0.275,0.9,0.625
BD11,convnext_tiny,gaussian_blur,10,0.2295454545454545,0.9,0.6704545454545454
BD11,convnext_tiny,gaussian_blur,12,0.1886363636363636,0.9,0.7113636363636364
BD11,convnext_tiny,defocus_blur,3,0.8068181818181818,0.9,0.0931818181818182
BD11,convnext_tiny,defocus_blur,5,0.6522727272727272,0.9,0.2477272727272728
BD11,convnext_tiny,defocus_blur,8,0.4977272727272727,0.9,0.4022727272727273
BD11,convnext_tiny,defocus_blur,11,0.3568181818181818,0.9,0.5431818181818182
BD11,convnext_tiny,defocus_blur,15,0.2477272727272727,0.9,0.6522727272727273
BD11,convnext_tiny,resize,1.33,0.925,0.9,-0.025
BD11,convnext_tiny,resize,1.67,0.8136363636363636,0.9,0.0863636363636364
BD11,convnext_tiny,resize,2.0,0.7227272727272728,0.9,0.1772727272727272
BD11,convnext_tiny,illumination,0.7,0.9363636363636364,0.9,-0.0363636363636363
BD11,convnext_tiny,illumination,0.85,0.9477272727272728,0.9,-0.0477272727272727
