backbone,backbone_label,condition,condition_label,severity_rank,reference_dataset,target_dataset,target_tag,n_reference,n_target,ref_centroid_cosine,ref_mmd_rbf
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,resize_2_0,2942,2942,0.07745665311813354,0.06005507707595825
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,brightness_0_7,2942,2942,0.00805431604385376,0.0066214799880981445
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,brightness_0_85,2942,2942,0.002657949924468994,0.003447890281677246
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,brightness_1_15,2942,2942,0.0020494461059570312,0.002741217613220215
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,brightness_1_3,2942,2942,0.006415903568267822,0.006312668323516846
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,jpeg_10,2942,2942,0.23546719551086426,0.20286411046981812
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,jpeg_20,2942,2942,0.1325392723083496,0.10845106840133667
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,jpeg_30,2942,2942,0.09388035535812378,0.07387059926986694
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,jpeg_50,2942,2942,0.06773161888122559,0.054669201374053955
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,jpeg_70,2942,2942,0.0456697940826416,0.03805840015411377
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,color_shift_-45,2942,2942,0.027665257453918457,0.02220672369003296
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,color_shift_-30,2942,2942,0.011464238166809082,0.009677648544311523
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,color_shift_30,2942,2942,0.009926319122314453,0.008989036083221436
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,color_shift_45,2942,2942,0.017651379108428955,0.016926050186157227
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,green_channel_shift_-45,2942,2942,0.03485870361328125,0.026889920234680176
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,green_channel_shift_-30,2942,2942,0.020986557006835938,0.016842007637023926
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,green_channel_shift_30,2942,2942,0.02450406551361084,0.02023559808731079
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,green_channel_shift_45,2942,2942,0.05712532997131348,0.04437732696533203
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blue_channel_shift_-45,2942,2942,0.020292222499847412,0.01765608787536621
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blue_channel_shift_-30,2942,2942,0.010645389556884766,0.00950390100479126
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blue_channel_shift_30,2942,2942,0.01643240451812744,0.013715088367462158
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,blue_channel_shift_45,2942,2942,0.029954135417938232,0.021572530269622803
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,gaussian_noise_0_02,2942,2942,0.009272933006286621,0.009522080421447754
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,gaussian_noise_0_05,2942,2942,0.03505605459213257,0.03522646427154541
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,gaussian_noise_0_1,2942,2942,0.09149813652038574,0.09552758932113647
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,shot_noise_60,2942,2942,0.07088565826416016,0.06676816940307617
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,shot_noise_30,2942,2942,0.1215735673904419,0.11913454532623291
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,shot_noise_15,2942,2942,0.18961459398269653,0.18990057706832886
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,impulse_noise_0_01,2942,2942,0.08187854290008545,0.06940585374832153
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,impulse_noise_0_03,2942,2942,0.18700671195983887,0.1698969602584839
