bootstrap_id,slope,intercept,r,r_squared,n
69,1.0624374873479872,-0.07215014322894009,0.9079335592076413,0.8243433479354555,1575
70,1.0279081147838958,-0.0710932619337099,0.9195689678235959,0.8456070865841535,1620
71,1.0424990136113872,-0.07459912879102817,0.9088343529577658,0.8259798811161608,1601
72,1.0559024469266554,-0.07138574669099979,0.9120640124428809,0.8318607627934077,1586
73,1.0389953964952783,-0.07301220409714604,0.9071694648702366,0.8229564379929515,1571
74,1.037616223158548,-0.06723701942982507,0.9059781902138179,0.8207964811431048,1601
75,1.0147809372478682,-0.06354466170340617,0.9010774296934629,0.8119405343029776,1608
76,1.0297670095713718,-0.07472523011653648,0.9042675541738731,0.8176998095315985,1599
77,1.0438618071046917,-0.06999707908390623,0.9224093770543413,0.850839058877778,1603
78,1.045701675186305,-0.07757435421525216,0.916867211591999,0.8406454836924875,1569
79,1.061914208468649,-0.07269717311608248,0.905879556558024,0.8206177709897622,1600
80,1.0021381826029228,-0.06119398209699048,0.9162587241096763,0.839530049507092,1618
81,0.9978843598687219,-0.06162741544948683,0.9051861568610327,0.819361978572846,1580
82,1.0265725468157048,-0.07040904048311247,0.9158557501262091,0.8387917550392412,1635
83,1.0251296206038383,-0.06616832310915066,0.9083000359062441,0.8250089552272843,1619
84,1.0604225533536593,-0.07344926633341475,0.8932770152525588,0.7979438259785201,1599
85,1.0423572946284974,-0.07069708982887207,0.9139790543008698,0.8353577117007123,1583
86,1.0346281529169916,-0.06609534037047615,0.899234188911725,0.8086221265077279,1576
87,1.0425546654906457,-0.07271118428609219,0.9009982861747546,0.811797911689845,1599
88,1.0366736912430299,-0.0703463228995001,0.9031055531177367,0.8155996400720931,1586
89,1.0471551423366332,-0.07077100676835191,0.911023956134657,0.8299646486512415,1604
90,1.030040535152499,-0.07110627224243249,0.915360751407629,0.8378853052175391,1601
91,1.0221713584221734,-0.06957901940597361,0.9082517098591464,0.824921168462063,1597
92,1.0829637465982422,-0.0752247939842508,0.9130240980400868,0.833613003601914,1599
93,1.0416151499560236,-0.07679565102253638,0.9152422963992101,0.8376684611180994,1603
94,1.045378224172487,-0.07424098798839479,0.9033048529580161,0.8159596573775031,1575
95,1.027275244504514,-0.06392637146679048,0.9036438564738349,0.8165722193429048,1609
96,1.0566189210807495,-0.0674698589765487,0.8994152252294636,0.8089477473745668,1621
97,1.0461273949955725,-0.0633825967628544,0.9060264838606109,0.8208839894568218,1620
98,1.0214898037665754,-0.06136231911239276,0.8902150004222215,0.7924827469767357,1617
99,1.037407115435588,-0.07018810855638202,0.911608597826913,0.8310302356319503,1607
100,1.050720258266058,-0.07369559373355355,0.8990267866155335,0.8082491630522519,1590
101,1.0524423969597543,-0.07489595580342345,0.9105874258337945,0.8291694600866162,1608
102,1.0288110499133207,-0.062252162003062106,0.9140402481472635,0.835469575233111,1616
103,1.0147826272741618,-0.06399680978883882,0.8981857487920313,0.8067376393331019,1606
104,1.0559400387622648,-0.07180461006872019,0.9092184406214411,0.826678172766085,1583
105,1.0230710092794981,-0.06855038477765957,0.9131131241588082,0.833775577511059,1616
