backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x20,VN26_x50,26,0.10550239661551908,0.10550239661551908,0.22651217330341555,0.12100977668789648
resnet50,VN26_x20,VN26_x50,27,0.2360866131446737,0.2360866131446737,0.2360866131446737,0.0
resnet50,VN26_x20,VN26_x50,28,0.07752396429619772,0.07752396429619772,0.2958360351806489,0.21831207088445115
resnet50,VN26_x20,VN26_x50,29,0.16256370210243543,0.16256370210243543,0.16256370210243543,0.0
resnet50,VN26_x20,VN26_x50,30,0.006444745456161798,0.006444745456161798,0.1785101039442204,0.1720653584880586
resnet50,VN26_x20,VN26_x50,31,0.27387730656541825,0.27387730656541825,0.3035238792156621,0.02964657265024384
resnet50,VN26_x20,VN26_x50,32,0.6396350954843828,0.6396350954843828,0.6396350954843828,0.0
resnet50,VN26_x20,VN26_x50,33,0.304652678735307,0.304652678735307,0.3784086819151034,0.07375600317979641
resnet50,VN26_x20,VN26_x50,34,0.20569693243142725,0.20569693243142725,0.2851137182661103,0.07941678583468306
resnet50,VN26_x20,VN26_x50,35,0.4625267884707553,0.4625267884707553,0.5569842266374709,0.09445743816671565
resnet50,VN26_x20,VN26_x50,36,0.020144054240931214,0.020144054240931214,0.2426060676576344,0.22246201341670319
resnet50,VN26_x20,VN26_x50,37,0.20132594894569908,0.20132594894569908,0.20639770321792086,0.0050717542722217845
resnet50,VN26_x20,VN26_x50,38,0.035728151702614924,0.035728151702614924,0.2793802994285815,0.24365214772596658
resnet50,VN26_x20,VN26_x50,39,0.11345426256670428,0.11345426256670428,0.31396783188816285,0.20051356932145858
resnet50,VN26_x20,VN26_x50,40,0.2511803859484254,0.2511803859484254,0.2511803859484254,0.0
resnet50,VN26_x20,VN26_x50,41,0.22320386614408874,0.22320386614408874,0.22519461191424137,0.0019907457701526243
resnet50,VN26_x20,VN26_x50,42,0.1867363069372483,0.1867363069372483,0.23476587497936807,0.048029568042119775
