backbone,magnification,image_idx,sgi,species_label
efficientnet_b3,VN26_x20,47,0.00015943877551020407,7
efficientnet_b3,VN26_x20,48,0.00013950892857142856,7
efficientnet_b3,VN26_x20,49,0.00013950892857142856,7
efficientnet_b3,VN26_x20,50,0.0001992984693877551,7
efficientnet_b3,VN26_x20,51,9.964923469387755e-05,7
efficientnet_b3,VN26_x20,52,0.00011957908163265306,7
efficientnet_b3,VN26_x20,53,0.00015943877551020407,7
efficientnet_b3,VN26_x20,54,1.992984693877551e-05,8
efficientnet_b3,VN26_x20,55,0.00015943877551020407,8
efficientnet_b3,VN26_x20,56,3.985969387755102e-05,8
efficientnet_b3,VN26_x20,57,3.985969387755102e-05,8
efficientnet_b3,VN26_x20,58,3.985969387755102e-05,8
efficientnet_b3,VN26_x20,59,0.00013950892857142856,8
efficientnet_b3,VN26_x20,60,0.00027901785714285713,8
efficientnet_b3,VN26_x20,61,0.00025908801020408165,8
efficientnet_b3,VN26_x20,62,0.00015943877551020407,8
efficientnet_b3,VN26_x20,63,1.992984693877551e-05,8
efficientnet_b3,VN26_x20,64,0.0001793686224489796,9
efficientnet_b3,VN26_x20,65,0.0002192283163265306,9
efficientnet_b3,VN26_x20,66,0.00025908801020408165,9
efficientnet_b3,VN26_x20,67,0.00011957908163265306,9
efficientnet_b3,VN26_x20,68,0.00025908801020408165,9
efficientnet_b3,VN26_x20,69,0.00015943877551020407,9
efficientnet_b3,VN26_x20,70,7.971938775510203e-05,10
efficientnet_b3,VN26_x20,71,0.00013950892857142856,10
efficientnet_b3,VN26_x20,72,0.00025908801020408165,10
efficientnet_b3,VN26_x20,73,0.00023915816326530612,10
efficientnet_b3,VN26_x20,74,7.971938775510203e-05,10
efficientnet_b3,VN26_x20,75,0.0001793686224489796,10
efficientnet_b3,VN26_x20,76,0.00025908801020408165,10
efficientnet_b3,VN26_x20,77,0.00015943877551020407,10
efficientnet_b3,VN26_x20,78,0.00013950892857142856,10
efficientnet_b3,VN26_x20,79,0.00015943877551020407,10
efficientnet_b3,VN26_x20,80,5.978954081632653e-05,10
efficientnet_b3,VN26_x20,81,0.00025908801020408165,10
efficientnet_b3,VN26_x20,82,0.00027901785714285713,11
efficientnet_b3,VN26_x20,83,7.971938775510203e-05,11
efficientnet_b3,VN26_x20,84,0.0001992984693877551,11
efficientnet_b3,VN26_x20,85,0.0001793686224489796,11
efficientnet_b3,VN26_x20,86,0.0001793686224489796,11
efficientnet_b3,VN26_x20,87,0.00013950892857142856,11
efficientnet_b3,VN26_x20,88,3.985969387755102e-05,11
efficientnet_b3,VN26_x20,89,0.00023915816326530612,11
efficientnet_b3,VN26_x20,90,0.00015943877551020407,11
efficientnet_b3,VN26_x20,91,0.00011957908163265306,12
efficientnet_b3,VN26_x20,92,0.00011957908163265306,12
efficientnet_b3,VN26_x20,93,0.0002192283163265306,12
efficientnet_b3,VN26_x20,94,0.0001793686224489796,12
efficientnet_b3,VN26_x20,95,0.00027901785714285713,12
efficientnet_b3,VN26_x20,96,0.00023915816326530612,12
efficientnet_b3,VN26_x20,97,0.00025908801020408165,12
