detector,heldout_family,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_centroid_cosine,motion_blur,4088,168,0.6607142857142857,0.1285010576248169,0.898982729568859,0.9321953532479847,0.9669060037539484,0.956043956043956,0.7837837837837838,0.8613861386138614,0.0701754385964912,87,4,24,53
ref_centroid_cosine,pixelate,4088,168,0.8869047619047619,0.1289258003234863,0.8930210089182257,0.9696220416813848,0.9962146190623687,0.9927536231884058,0.9194630872483222,0.9547038327526132,0.0526315789473684,137,1,12,18
ref_centroid_cosine,red_channel_shift,4032,224,0.0223214285714285,0.1196929216384887,0.8991728141661882,0.9031963470319636,0.3048676592224979,0.1428571428571428,0.2,0.1666666666666666,0.0273972602739726,1,6,4,213
ref_centroid_cosine,resize,4088,168,0.1964285714285714,0.1285010576248169,0.9045871554634388,0.7663299663299664,0.466437672695805,0.4166666666666667,0.4545454545454545,0.4347826086956521,0.1555555555555555,15,21,18,114
ref_centroid_cosine,rotation,4032,224,0.4285714285714285,0.1196929216384887,0.8955363397667911,0.9918619791666666,0.9895362581592416,0.8727272727272727,1.0,0.9320388349514565,0.109375,96,14,0,114
ref_centroid_cosine,scratch,4088,168,0.4107142857142857,0.1285010576248169,0.9092201938588532,0.8792270531400966,0.8633924643856187,0.4893617021276595,1.0,0.6571428571428571,0.7272727272727273,69,72,0,27
ref_centroid_cosine,shot_noise,4088,168,0.8214285714285714,0.1285010576248169,0.8989463596535321,0.8727053140096618,0.970872109362561,0.9565217391304348,0.7971014492753623,0.8695652173913043,0.1666666666666666,110,5,28,25
ref_centroid_cosine,zoom_blur,4088,168,0.8690476190476191,0.1285010576248169,0.8937303311389677,0.922478206724782,0.9877342358968736,0.9276315789473684,0.9657534246575342,0.9463087248322148,0.5,141,11,5,11
ref_knn1_dist,blue_channel_shift,4032,224,0.0089285714285714,0.1778617948293686,0.8925548074025761,0.945945945945946,0.29,0.0,0.0,0.0,0.0,0,0,2,222
ref_knn1_dist,compound,4088,168,1.0,0.1778617948293686,0.8844714681641214,,,1.0,0.9821428571428572,0.9909909909909907,0.0,165,0,3,0
ref_knn1_dist,compound_digital,4088,168,0.8630952380952381,0.1778617948293686,0.8884775561885008,0.9448275862068966,0.9901820633176984,0.9577464788732394,0.9379310344827586,0.9477351916376306,0.2608695652173913,136,6,9,17
ref_knn1_dist,compound_field,4088,168,0.9583333333333334,0.1778617948293686,0.8863477241225131,0.8926353149955634,0.9950436088712392,0.9631901840490796,0.9751552795031057,0.9691358024691358,0.8571428571428571,157,6,4,1
ref_knn1_dist,compound_optical,4088,168,0.8928571428571429,0.1778617948293686,0.8877527301547071,0.8996296296296296,0.9866956360937826,0.935897435897436,0.9733333333333334,0.954248366013072,0.5555555555555556,146,10,4,8
ref_knn1_dist,contrast,4032,224,0.0,0.1778617948293686,0.8921674978742795,,,0.0,0.0,0.0,0.0,0,0,0,224
