backbone,dataset,k,n_images,sgi_mean,sgi_std,sil_mean,sil_std
convnext_tiny,WRD25,5,96,0.12303358843537415,0.04390714098559679,0.11823944002389908,0.03871496021747589
convnext_tiny,WRD25,6,96,0.14716198979591835,0.048916706708807496,0.1016293540596962,0.028092337772250175
convnext_tiny,WRD25,7,96,0.17102465986394558,0.049918908794143985,0.09593615680932999,0.025594143196940422
convnext_tiny,WRD25,8,96,0.18484268707482995,0.05187673779822533,0.08933345228433609,0.02775087207555771
convnext_tiny,DTSR14,2,89,0.01908965833524421,0.010276289171463747,0.2915554642677307,0.20379959046840668
convnext_tiny,DTSR14,3,89,0.043911946801192384,0.02218816695236648,0.1709463894367218,0.09695577621459961
convnext_tiny,DTSR14,4,89,0.06701444622792938,0.029633428488361174,0.130882129073143,0.027738716453313828
convnext_tiny,DTSR14,5,89,0.08707865168539325,0.03723227423947681,0.12462335079908371,0.034061092883348465
convnext_tiny,DTSR14,6,89,0.10060765879385462,0.043507830272712246,0.11597348004579544,0.027332887053489685
convnext_tiny,DTSR14,7,89,0.1117289612474203,0.04207281882472318,0.11335962265729904,0.026996789500117302
convnext_tiny,DTSR14,8,89,0.13305434533363908,0.05048576048078494,0.10597351938486099,0.029315216466784477
convnext_tiny,PCA11,2,99,0.023294166151309005,0.013531058573056306,0.2740534245967865,0.21295087039470673
convnext_tiny,PCA11,3,99,0.0639558853844568,0.03227883769282539,0.1642354279756546,0.10836905241012573
convnext_tiny,PCA11,4,99,0.10812203669346526,0.04256136688739326,0.13156044483184814,0.06807137280702591
convnext_tiny,PCA11,5,99,0.14594928880643165,0.05149653216960084,0.10457833856344223,0.029800821095705032
convnext_tiny,PCA11,6,99,0.16713048855906,0.061061466584651496,0.09963285177946091,0.028611836954951286
convnext_tiny,PCA11,7,99,0.19052772624201195,0.05505660197003101,0.08859711140394211,0.026452312245965004
convnext_tiny,PCA11,8,99,0.21227581941867651,0.06399136088954646,0.08527109026908875,0.025540726259350777
swin_tiny,WRD25,2,96,0.05234906462585034,0.02323208921089238,0.1699015498161316,0.02989489957690239
swin_tiny,WRD25,3,96,0.14259141156462585,0.053411090796915285,0.17337225377559662,0.03344525769352913
swin_tiny,WRD25,4,96,0.21125637755102042,0.061509832008206686,0.18211662769317627,0.040209412574768066
swin_tiny,WRD25,5,96,0.2762542517006803,0.07108601641536728,0.17107616364955902,0.03450114652514458
swin_tiny,WRD25,6,96,0.32769982993197283,0.09034382490173154,0.1618071347475052,0.024428291246294975
swin_tiny,WRD25,7,96,0.3823873299319727,0.0957124867465783,0.15029402077198029,0.02199949324131012
swin_tiny,WRD25,8,96,0.4098639455782313,0.09785656502611256,0.1420109122991562,0.02032504789531231
swin_tiny,DTSR14,2,89,0.043854620499885345,0.013085473870739517,0.16084913909435272,0.03870625048875809
swin_tiny,DTSR14,3,89,0.08759458839715661,0.036013877204623755,0.16826553642749786,0.037454117089509964
swin_tiny,DTSR14,4,89,0.12090116945654666,0.04586677331751784,0.17625851929187775,0.043461475521326065
swin_tiny,DTSR14,5,89,0.15885118092180694,0.053936342521226616,0.16752508282661438,0.033907994627952576
swin_tiny,DTSR14,6,89,0.19725980279752348,0.05847282733318046,0.16808296740055084,0.026367299258708954
swin_tiny,DTSR14,7,89,0.22030497592295345,0.07013338219224041,0.16117139160633087,0.029685912653803825
swin_tiny,DTSR14,8,89,0.24673240082549872,0.06661143540057797,0.15536564588546753,0.02524896152317524
swin_tiny,PCA11,2,99,0.04746444032158318,0.01420032467928885,0.19204947352409363,0.03295712545514107
swin_tiny,PCA11,3,99,0.11925376211090497,0.04772156260569777,0.19777242839336395,0.044130969792604446
swin_tiny,PCA11,4,99,0.19212533498247786,0.06423064402176511,0.19512201845645905,0.038759443908929825
swin_tiny,PCA11,5,99,0.2611832611832612,0.07821003706726302,0.17685098946094513,0.034413933753967285
swin_tiny,PCA11,6,99,0.3212224283652855,0.08390380379508387,0.1641393005847931,0.023884762078523636
swin_tiny,PCA11,7,99,0.3645124716553288,0.08971712256979639,0.15092726051807404,0.020930906757712364
swin_tiny,PCA11,8,99,0.3904349618635333,0.09454631985334162,0.1429775357246399,0.02084704488515854
dinov2_b,WRD25,2,96,0.11763509114583333,0.0671225295264377,0.0848146453499794,0.015689615160226822
dinov2_b,WRD25,3,96,0.22021484375,0.10884364805856582,0.07804619520902634,0.01091389637440443
dinov2_b,WRD25,4,96,0.2749837239583333,0.11647662965907626,0.07468646764755249,0.00978613831102848
dinov2_b,WRD25,5,96,0.30078125,0.12128130426743933,0.07243023067712784,0.008927341550588608
dinov2_b,WRD25,6,96,0.3258870442708333,0.10962719829863064,0.07098905742168427,0.00840567797422409
dinov2_b,WRD25,7,96,0.35693359375,0.11722309843421883,0.07007328420877457,0.008398930542171001
dinov2_b,WRD25,8,96,0.369384765625,0.11254053092156545,0.07037689536809921,0.0083832498639822
dinov2_b,DTSR14,2,89,0.030591643258426966,0.0243574991182055,0.09142178297042847,0.01994176395237446
dinov2_b,DTSR14,3,89,0.07531601123595505,0.04632678000851925,0.08705591410398483,0.012679213657975197
dinov2_b,DTSR14,4,89,0.09717345505617977,0.06202035775779823,0.08790837228298187,0.012645168229937553
dinov2_b,DTSR14,5,89,0.12078651685393259,0.06838971467348362,0.08995155990123749,0.012715104967355728
dinov2_b,DTSR14,6,89,0.1310568820224719,0.06485588810547246,0.09186959266662598,0.013896984048187733
dinov2_b,DTSR14,7,89,0.14918363764044945,0.06346871617045564,0.09354513138532639,0.01428398210555315
dinov2_b,DTSR14,8,89,0.1678370786516854,0.07181421808188763,0.09460194408893585,0.01397479698061943
dinov2_b,PCA11,2,99,0.1064157196969697,0.06786315638900557,0.08135005086660385,0.01302691362798214
dinov2_b,PCA11,3,99,0.1867108585858586,0.12407672236299458,0.07065960764884949,0.008440043777227402
dinov2_b,PCA11,4,99,0.24708017676767677,0.13271073538583095,0.0693373754620552,0.008189985528588295
dinov2_b,PCA11,5,99,0.27726483585858586,0.11911811914590822,0.0679498016834259,0.008419989608228207
dinov2_b,PCA11,6,99,0.3045691287878788,0.11561104861168718,0.06729830056428909,0.008196048438549042
dinov2_b,PCA11,7,99,0.3186947601010101,0.11411563319229617,0.06667082011699677,0.00795439351350069
dinov2_b,PCA11,8,99,0.34209280303030304,0.11601779831906014,0.06586269289255142,0.008441886864602566
hrnet32,WRD25,2,96,0.06802721088435375,0.021684194504877824,0.12503723800182343,0.029343336820602417
hrnet32,WRD25,3,96,0.16111288265306123,0.05763877125241578,0.10119905322790146,0.025114376097917557
hrnet32,WRD25,4,96,0.24452593537414966,0.07701578703091942,0.08239448070526123,0.01795542798936367
hrnet32,WRD25,5,96,0.3033056972789116,0.08949727362893278,0.0753006562590599,0.013632755726575851
hrnet32,WRD25,6,96,0.34729751275510207,0.09527890171774749,0.07043255120515823,0.01088037807494402
hrnet32,WRD25,7,96,0.38069993622448983,0.09650546104168478,0.06690537929534912,0.010383930057287216
hrnet32,WRD25,8,96,0.40884088010204084,0.09543143556178103,0.06442385166883469,0.008982006460428238
hrnet32,DTSR14,2,89,0.03797867461591378,0.018795520915755454,0.09686106443405151,0.023522483184933662
hrnet32,DTSR14,3,89,0.08783822517771153,0.03793723104686116,0.08472186326980591,0.016575420275330544
hrnet32,DTSR14,4,89,0.12888385691355192,0.05547342024397211,0.07949173450469971,0.015904275700449944
hrnet32,DTSR14,5,89,0.1659023159825728,0.060015812173932724,0.07308214157819748,0.012122363783419132
hrnet32,DTSR14,6,89,0.19379156156844765,0.06823140346205406,0.07100998610258102,0.011284802109003067
hrnet32,DTSR14,7,89,0.2143860353130016,0.07285973311264306,0.07030514627695084,0.011162137612700462
hrnet32,DTSR14,8,89,0.23748853473973855,0.07588003023944408,0.06809066236019135,0.011573225259780884
hrnet32,PCA11,2,99,0.0613790970933828,0.024783024132453705,0.12817631661891937,0.032405003905296326
