dataset,backbone,condition,image_idx,sgi,sgi_c0,sgi_c1,sgi_c2
WRD25,resnet50,clean,152,0.0012555803571428572,1.992984693877551e-05,0.00023915816326530612,0.0009964923469387755
WRD25,resnet50,clean,153,0.0017737563775510204,3.985969387755102e-05,0.0009167729591836735,0.000817123724489796
WRD25,resnet50,clean,154,0.0005779655612244898,1.992984693877551e-05,0.00011957908163265306,0.0004384566326530612
WRD25,resnet50,clean,155,0.00015943877551020407,0.0,0.00011957908163265306,3.985969387755102e-05
WRD25,resnet50,clean,156,0.0033482142857142855,0.0,0.0017737563775510204,0.0015744579081632653
WRD25,resnet50,clean,157,0.011957908163265306,0.004902742346938775,0.0005181760204081633,0.006536989795918368
WRD25,resnet50,clean,158,0.0055404974489795915,0.00253109056122449,0.00011957908163265306,0.002889827806122449
WRD25,resnet50,clean,159,0.007334183673469388,0.00466358418367347,0.00011957908163265306,0.002551020408163265
WRD25,resnet50,clean,160,0.013432716836734694,0.00817123724489796,0.0003786670918367347,0.0048828125
WRD25,resnet50,clean,161,0.008848852040816327,0.0042849170918367345,0.0004384566326530612,0.00412547831632653
WRD25,resnet50,clean,162,0.0030293367346938774,0.0015943877551020409,5.978954081632653e-05,0.0013751594387755102
WRD25,resnet50,clean,163,0.005221619897959184,0.002650669642857143,0.00015943877551020407,0.0024115114795918366
WRD25,resnet50,clean,164,0.014528858418367346,0.0077128507653061226,0.000817123724489796,0.005998883928571429
WRD25,resnet50,clean,165,0.004264987244897959,0.0012555803571428572,0.0006776147959183673,0.002331792091836735
WRD25,resnet50,clean,166,0.0018136160714285715,0.0,0.0009367028061224489,0.0008769132653061224
WRD25,resnet50,clean,167,0.000896843112244898,1.992984693877551e-05,0.0004384566326530612,0.0004384566326530612
WRD25,resnet50,clean,168,0.012854751275510204,0.004384566326530612,0.0011160714285714285,0.007354113520408163
WRD25,resnet50,clean,169,0.012097417091836735,0.0029097576530612247,0.0007573341836734694,0.00843032525510204
WRD25,resnet50,clean,170,0.001295440051020408,0.0002192283163265306,0.00023915816326530612,0.0008370535714285714
WRD25,resnet50,clean,171,0.00011957908163265306,1.992984693877551e-05,1.992984693877551e-05,7.971938775510203e-05
