dataset,backbone,condition,image_idx,silhouette
PCA11,efficientnet_b3,clean,188,-0.008225133642554283
PCA11,efficientnet_b3,clean,189,-0.0009097724687308073
PCA11,efficientnet_b3,clean,190,-0.005533050280064344
PCA11,efficientnet_b3,clean,191,-0.012414198368787766
PCA11,efficientnet_b3,clean,192,0.004039173014461994
PCA11,efficientnet_b3,clean,193,-0.006417127326130867
PCA11,efficientnet_b3,clean,194,-1.1002272231053212e-06
PCA11,efficientnet_b3,clean,195,-0.006367961876094341
PCA11,efficientnet_b3,clean,196,-0.007684003096073866
PCA11,efficientnet_b3,clean,197,-0.00840939674526453
PCA11,efficientnet_b3,clean,198,-0.0029418920166790485
PCA11,efficientnet_b3,clean,199,0.0065939645282924175
PCA11,convnext_tiny,clean,0,0.02146102860569954
PCA11,convnext_tiny,clean,1,-0.03285136818885803
PCA11,convnext_tiny,clean,2,-0.05119778588414192
PCA11,convnext_tiny,clean,3,-0.036038096994161606
PCA11,convnext_tiny,clean,4,0.006764117628335953
PCA11,convnext_tiny,clean,5,-0.09126215428113937
PCA11,convnext_tiny,clean,6,-0.006404168903827667
PCA11,convnext_tiny,clean,7,-0.028496909886598587
PCA11,convnext_tiny,clean,8,0.30594518780708313
PCA11,convnext_tiny,clean,9,-0.06136787310242653
PCA11,convnext_tiny,clean,10,0.4886164665222168
PCA11,convnext_tiny,clean,11,0.08308760821819305
PCA11,convnext_tiny,clean,12,-0.005429592449218035
PCA11,convnext_tiny,clean,13,-0.018947197124361992
PCA11,convnext_tiny,clean,14,0.1279909908771515
PCA11,convnext_tiny,clean,15,0.022060642018914223
PCA11,convnext_tiny,clean,16,0.036643899977207184
PCA11,convnext_tiny,clean,17,-0.06789374351501465
PCA11,convnext_tiny,clean,18,-0.007471393793821335
PCA11,convnext_tiny,clean,19,0.01087144948542118
PCA11,convnext_tiny,clean,20,0.02225036732852459
PCA11,convnext_tiny,clean,21,0.03264196217060089
PCA11,convnext_tiny,clean,22,-0.059138014912605286
PCA11,convnext_tiny,clean,23,-0.004451883025467396
PCA11,convnext_tiny,clean,24,-0.042095497250556946
PCA11,convnext_tiny,clean,25,0.04207075759768486
PCA11,convnext_tiny,clean,26,-0.01927570253610611
PCA11,convnext_tiny,clean,27,0.03225906565785408
PCA11,convnext_tiny,clean,28,0.04294538497924805
PCA11,convnext_tiny,clean,29,0.04370732232928276
PCA11,convnext_tiny,clean,30,0.0063247899524867535
PCA11,convnext_tiny,clean,31,0.0
PCA11,convnext_tiny,clean,32,0.03980281576514244
PCA11,convnext_tiny,clean,33,0.07904206216335297
PCA11,convnext_tiny,clean,34,-0.008804325014352798
PCA11,convnext_tiny,clean,35,0.01445932686328888
PCA11,convnext_tiny,clean,36,-0.025081293657422066
PCA11,convnext_tiny,clean,37,0.016521787270903587
PCA11,convnext_tiny,clean,38,0.10379380732774734
PCA11,convnext_tiny,clean,39,0.0
