dataset,backbone,condition,image_idx,silhouette
DTSR14,efficientnet_b3,clean,187,-0.0005768874543718994
DTSR14,efficientnet_b3,clean,188,0.006710783112794161
DTSR14,efficientnet_b3,clean,189,-0.0010689778719097376
DTSR14,efficientnet_b3,clean,190,-0.00612739659845829
DTSR14,efficientnet_b3,clean,191,-0.007013952359557152
DTSR14,efficientnet_b3,clean,192,-0.008057224564254284
DTSR14,efficientnet_b3,clean,193,-0.0026589951012283564
DTSR14,efficientnet_b3,clean,194,0.00851287692785263
DTSR14,efficientnet_b3,clean,195,-0.004377743229269981
DTSR14,efficientnet_b3,clean,196,0.005450206343084574
DTSR14,efficientnet_b3,clean,197,0.004422067664563656
DTSR14,efficientnet_b3,clean,198,-0.000854412792250514
DTSR14,efficientnet_b3,clean,199,-0.006754498463124037
DTSR14,convnext_tiny,clean,0,-0.02123316191136837
DTSR14,convnext_tiny,clean,1,-0.05411577224731445
DTSR14,convnext_tiny,clean,2,0.0
DTSR14,convnext_tiny,clean,3,0.19444766640663147
DTSR14,convnext_tiny,clean,4,-0.019060395658016205
DTSR14,convnext_tiny,clean,5,0.03124300017952919
DTSR14,convnext_tiny,clean,6,-0.0251763928681612
DTSR14,convnext_tiny,clean,7,0.3652951717376709
DTSR14,convnext_tiny,clean,8,-0.016238413751125336
DTSR14,convnext_tiny,clean,9,0.0550650954246521
DTSR14,convnext_tiny,clean,10,0.02084585279226303
DTSR14,convnext_tiny,clean,11,-0.06944796442985535
DTSR14,convnext_tiny,clean,12,0.02659493125975132
DTSR14,convnext_tiny,clean,13,0.08120539039373398
DTSR14,convnext_tiny,clean,14,-0.04875846952199936
DTSR14,convnext_tiny,clean,15,-0.04605155065655708
DTSR14,convnext_tiny,clean,16,-0.05321792513132095
DTSR14,convnext_tiny,clean,17,0.026268357411026955
DTSR14,convnext_tiny,clean,18,-0.11677366495132446
DTSR14,convnext_tiny,clean,19,0.019529864192008972
DTSR14,convnext_tiny,clean,20,0.08878081291913986
DTSR14,convnext_tiny,clean,21,-0.003605152014642954
DTSR14,convnext_tiny,clean,22,-0.03132468834519386
DTSR14,convnext_tiny,clean,23,-0.05688566714525223
DTSR14,convnext_tiny,clean,24,-0.009684285148978233
DTSR14,convnext_tiny,clean,25,-0.001865678932517767
DTSR14,convnext_tiny,clean,26,0.025352297350764275
DTSR14,convnext_tiny,clean,27,-0.012538525275886059
DTSR14,convnext_tiny,clean,28,0.0481879748404026
DTSR14,convnext_tiny,clean,29,-0.08976307511329651
DTSR14,convnext_tiny,clean,30,0.06492576748132706
DTSR14,convnext_tiny,clean,31,0.01959904283285141
DTSR14,convnext_tiny,clean,32,-0.028302859514951706
DTSR14,convnext_tiny,clean,33,-0.08827123045921326
DTSR14,convnext_tiny,clean,34,-0.018059145659208298
DTSR14,convnext_tiny,clean,35,0.01715380884706974
DTSR14,convnext_tiny,clean,36,-0.2880038321018219
DTSR14,convnext_tiny,clean,37,0.04081495478749275
DTSR14,convnext_tiny,clean,38,-0.01730545610189438
DTSR14,convnext_tiny,clean,39,0.043585389852523804
DTSR14,convnext_tiny,clean,40,-0.025670677423477173
DTSR14,convnext_tiny,clean,41,0.029741667211055756
DTSR14,convnext_tiny,clean,42,-0.02056964300572872
DTSR14,convnext_tiny,clean,43,0.01486500445753336
DTSR14,convnext_tiny,clean,44,-0.04338240996003151
DTSR14,convnext_tiny,clean,45,0.04140407219529152
DTSR14,convnext_tiny,clean,46,0.08493572473526001
DTSR14,convnext_tiny,clean,47,-0.039501823484897614
DTSR14,convnext_tiny,clean,48,0.28811442852020264
DTSR14,convnext_tiny,clean,49,-0.030716964974999428
DTSR14,convnext_tiny,clean,50,-0.0022029641550034285
DTSR14,convnext_tiny,clean,51,-0.11522842198610306
DTSR14,convnext_tiny,clean,52,-0.02049669623374939
DTSR14,convnext_tiny,clean,53,0.015866659581661224
DTSR14,convnext_tiny,clean,54,0.0
DTSR14,convnext_tiny,clean,55,0.21930447220802307
DTSR14,convnext_tiny,clean,56,0.026589682325720787
DTSR14,convnext_tiny,clean,57,0.21714815497398376
DTSR14,convnext_tiny,clean,58,-0.03606671839952469
DTSR14,convnext_tiny,clean,59,-0.03722411394119263
DTSR14,convnext_tiny,clean,60,-0.1043744832277298
DTSR14,convnext_tiny,clean,61,0.030188046395778656
DTSR14,convnext_tiny,clean,62,0.1089395135641098
